Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak
Pengembangan Media Pembelajaran Pop Up Book Materi Peninggalan Sejarah Hindu Buddha Kelas IV Tema 5 Subtema 1 Pembelajaran 5 SDN Keret Sidoarjo,Penulis : Las Pundari Eka Lestari,"Priyono Tri Febrianto, S. Sos., M. Si","Fachrur Rozie, S. Pd., M. Pd","
Kegiatan pembelajaran yang dilakukan hanya dengan menggunakan media pembelajaran yang sederhana yaitu media dua dimensi seperti gambar, poster dan media yang terbuat dari bahan karton tanpa adanya media tiga dimensi maka akan membuat siswa merasa bosan sehingga sulit untuk mengkonkretkan pengetahuan siswa yang awalnya bersifat abstrak. Berdasarkan permasalahan tersebut, peneliti bertujuan untuk menggembangkan media pembelajaran yang layak dari segikevalidan, keefektifan, dan  kemenarikan, dalam pembelajaran di SDN Keret Sidoarjo. Penggembangan ini menggunakan model Borg and Gall yang dimodifikasi oleh Sugiyono (2011: 298)yang terdiri dari 10 langkah yakni 1) Potensi dan Masalah, 2) Pengumpulan Informasi, 3) Desain Produk, 4) Validasi Desain, 5) Perbaikan Desain, 6) Uji Coba Produk, 7) Revisi Produk, 8) Uji Coba Pemakaian, 9) Revisi Produk Tahap Akhir, 10) Produksi Massal. Rata-rata hasil validasi yang diperoleh dari ahli media pembelajaran, ahli materi pembelajaran, dan ahli desain pembelajaran sebesar 80% dengan kategori valid, kemenarikan media ditinjau dari hasil angket respon siswa sebesar90% dengan kategori sangat menarik, keefektifan media ditinjau dari tes hasil belajar siswa, observasi aktvitas siswa, observasi aktivitas guru sebesar 94% dengan kategori sangat efektif. Pengembangan media pembelajaran Pop Up Book  kemudian dituliskan menjadi artikel dan dipublikasikan dalam bentuk jurnal."
PENGEMBANGAN MEDIA POP UP BOOK TEMA 6 CITA-CITAKU KELAS IV SEKOLAH DASAR,Penulis : HIDAYATUS SHOLIHAH,"Sulaiman, S.Pd., M.Pd.","Nilamsari Damayanti Fajrin, S.Pd., M.Pd.","Pengembangan ini dilatarbelakangi oleh keterbatasan jenis media pembelajaran yang digunakan oleh guru dalam membantu proses pembelajaran. Tujuan penelitian pengembangan ini adalah untuk mengetahu kevalidan media Pop Up Book, keefektifan media Pop Up Book, dan kemenarikan media Pop Up  Book. Pengembangan ini menggunakan model 4D (Define, Design, Development, Desseminate) tanpa dilakukan tahap dessiminate/penyebarluasan. Penelitian ini dilakukan di SDN Tluwe pada kelas IV. Berdasarkan hasil validasi para ahli didapatkan hasil presentase sebegai berikut: ahli media pembelajaran 92,5% (sangat valid), ahli materi 77,5% (sangat valid), ahli desain pembelajaran 87,5% (sangat valid), dan ahli bahasa 87,5% (sangat valid). Keefektifan media Pop Up Book tema 6 cita-citaku dilihat dari ketuntasan hasil belajar siswa yang dinyatakan tuntas secara klasikal dengan 100% siswa dinyatakan tuntas secara individual. Hasil kemenarikan media diukur dari hasil angket respon siswa pada saat uji coba terbatas di peroleh presentase 88,33% (sangat menarik). Media Pop Up Book memperoleh respon sangat baik dari siswa dengan skor rata-rata 89,375%. Berdasarkan hasil penelitian maka media pembelajaran Pop Up Book dikatakan valid, efektif, dan menarik jika digunakan pada tema 6 subtema 1 pembelajaran 3 kelas IV SDN Tluwe."
PENGARUH MODEL KOOPERATIF TIPE STAD BERBANTUAN MEDIA DAMAR KURUNG TERHADAP KETRAMPILAN MENULIS KALIMAT SEDERHANA KELAS II SDN SIDOKUMPUL 2 GRESIK,Penulis : Rizkiyah Maulidah,"Sulaiman., S.Pd, M.Pd","Mahmud, S.IP., M.Si","Penelitian ini merupakan penelitian kuantitatif, menggunakan quasi experimental design,
dengan tujuan untuk mengetahui pengaruh model pembelajaran STAD terhadap keterampilan
menulis kalimat sederhana dan keterlaksanaan model STAD. Penelitian ini bertujuan untuk
mengetahui pengaruh model pembelajaran kooperatif tipe STAD terhadap keterampilan menulis
kalimat sederhana siswa kelas II SDN Sidokumpul 2 pada mata pelajaran Bahasa Indonesia.
Teknik pengumpulan data yang digunakan adala tes dan lembar observasi. Berdasarkan hasil
perhitungan uji hipotesis penelitian menggunakan uji t dua sampel independen diperoleh data pretestdengan
thitung = 1,431 < ttabel = 2,048 sehingga Ho diterima, sedangkan pada post-testdengan
thitung= 4,866 >ttabel= 2,048 sehingga Ho ditolak dan Ha diterima yang artinya ada pengaruh
sehingga dapat disimpulkan bahwa model pembelajaran STAD berpengaruh terhadap
keterampilan menulis kalimat sederhana kelas II SDN Sidokumpul 2 Gresik. Berdasarkan hasil
perhitungan keterlaksanaan pembelajaran oleh guru diperoleh nilai 100% dengan kriteria
Terlaksana."
Perbedaan Keterampilan Berpikir Kritis dan Motivasi Belajar Siswa Kelas IV SDN Gili Barat Menggunakan Model Pembelajaran Inkuiri Tipe Pictorial Riddle dan Model Pembelajaran Inkuiri Tipe Inkuiri Terbimbing,Penulis : Aliyatul Wafiyah,"Andika Adinanda Siswoyo, S.Pd., M.Pd","Ana Naimatul Jannah, S.Pd., M.Pd","Penelitian ini bertujuan untuk mengetahui perbedaan keterampilan berpikir kritis dan motivasi belajar siswa kelas IV SDN Gili Barat menggunakan model pembelajaran inkuiri tipe pictorial riddle dan model pembelajaran inkuiri tipe inkuiri terbimbing. Penelitian ini merupakan penelitian kuantitatif jenis eksperimen dengan metode quasi eksperimental design. Penelitian dilakukan di SDN Gili Barat Kamal-Bangkalan Pengambilan sampel dilakukan secara acak. Sampel yang diambil adalah siswa kelas 4 yang terdiri dari kelas 4A sebagai kelas eksperimen dan kelas 4B sebagai kelas kontrol. Instrumen pengumpulan data menggunakan tes keterampilan berpikir kritis, angket motivasi belajar, dan lembar keterlaksanaan pembelajaran,. Teknik analisis data yang digunakan dalam penelitian ini yaitu uji Kolmogorov-Smirnov untuk menguji normalitas data, uji varian untuk homogenitas dan uji t dua sampel independen untuk menguji hipotesis penelitian. Hasil penelitian pada tes keterampilan berpikir kritis siswa menunjukan nilai thitung = 1.359 dan ttabel = 2.0227 pada taraf signifikan 5%. Sehingga thitung < ttabel, maka Ho diterima. Sedangkan hasil penelitian pada angket motivasi belajar siswa nilai thitung  = -0.6942  dan ttabel = 2.0227 pada taraf signifikan 5%. Sehingga thitung < ttabel, maka Ho diterima. Dari hasil tersebut dapat disimpulkan bahwa tidak ada perbedaan keterampilan berpikir kritis dan motivasi belajar siswa kelas IV SDN Gili Barat.

Kata Kunci: Model Inkuiri Tipe Pictorial Riddle, Model Pembelajaran Inkuiri Tipe Inkuiri Terbimbing, Sekolah Dasar, Keterampilan Berpikir Kritis, Motivasi Belajar."
Pengembangan Media Circle Negara ASEAN Kelas VI Tema Selamatkan Makhluk Hidup Di SDN 109 Gresik,Penulis : Janatun Nikmah,"Priyono Tri Febrianto, S.Sos,. M.Si","Ana Naimatul Jannah, S.Pd., M.Pd","Janatun Nikmah. 2020. Pengembangan Media Circle Negara ASEAN Kelas VI Tema Selamatkan Makhluk Hidup Di SDN 109 Gresik. Skripsi. Program Studi Pendidikan Guru Sekolah Dasar. Fakultas Ilmu Pendidikan. Universitas Trunojoyo Madura. Pembimbing I : Priyono Tri Febrianto S.Sos., M.Si. Pembimbing II : Ana Naimatul Jannah S.Pd., M.Pd.
ABSTRAK
Penelitian Pengembangan ini bertujuan mengembangkan media Circle Negara ASEAN pada pembalajaran tematik kelas VI di SDN 109 Gresik dari segi kevalidan, kemenarikan, dan keefektifan. Penelitian pengembangan ini menggunakan penelitian Borg and Gall. Berdasarkan hasil penelitian yang dilakukan, diperoleh hasil presentase rata-rata kevalidan media Circle Negara ASEAN sebesar 78,6% dalam kategori vaid. Keefektifan media Circle Negara ASEAN diukur menggunakan observasi aktivitas guru sebesar 80,6%, observasi aktivitas siswa sebesar 85,6%, dan hasil tes belajar siswa 81,4%, sehingga dapat disimpulkan bahwa media Circle Negara ASEAN efektif apabila digunakan. Kemenarikan diukur menggunakan angket respon siswa dengan presentase sebesar 94,6%, sehingga media Circle Negara ASEAN sangat menarik apabila digunakan.

Kata Kunci: Pengembangan Media Circle Negara ASEAN Kelas VI Tema Selamatkan Makhluk Hidup Di SDN 109 Gresik.
"
Pengembangan Media Pembelajaran Kartu Sapu Jagat Tema 7 Subtema 1 Kelas V UPTD SDN Jaddih 1 Socah Bangkalan,Penulis : Ayu Adi Widya Nur Arasyi,"Andika Adinanda Siswoyo, S.Pd., M.Pd.","Aditya Dyah Pusputasari, S.Pd., M.Pd.","Media pembelajaran merupakan salah satu penunjang pembelajaran yang penting. Media yang dikembangkan pada penelitian ini adalah media dua dimensi yang berisikan materi tema 7 sub tema 1 dari semua mata pelajaran. Penelitian pengembangan ini menggunakan model pengembangan Sugiyono yang telah dimodifikasi dari model pengembangan Borg and Gall (2014: 298). Hasil penelitian ini menunjukkan bahwa: (1) hasil kevalidan media memperoleh rata-rata sebesar 89,4% dari validasi media,desain pembelajaran, materi, dan bahasa dengan katergori sangat valid; (2) hasil kepraktisan media memperoleh rata-rata yaitu 88,92% dengan kategori praktis; dan (3) hasil keefektifan berdasarkan tes hasil belajar (post test) siswa 92,5%  pada kategori tuntas, sehingga media pembelajaran dapat dikatakan efektif. Berdasarkan hasil tersebut dapat disimpulkan bahwa media pembelajaran Kartu Sapu Jagat yang dikembangkan valid, praktis, dan efektif sehingga layak digunakan dalam pembelajaran.

Kata Kunci:  Media Pembelajaran Kartu Sapu Jagat, Tema 7 Subtema 1, Model Pengembangan Borg and Gall"
Pengembangan Media Pembelajaran Rotasi dan Revolusi Bumi Berbasis Augmented Reality Kelas VI Tema 8 Subtema 1,Penulis : Dwi Utari Indah Bakhri,"Andika Adinanda S., S.Pd., M.Pd","Ade Cyntia Pritasari, S.Pd., M.Pd","ABSTRAK

Tujuan Penelitian Pengembangan ini adalah (1) mengembangkan media pembelajaran Rotasi dan Revolusi Bumi Berbasis Augmented Reality yang valid ditinjau dari validasi ahli, (2) mengembangkan media pembelajaran Rotasi dan Revolusi Bumi Berbasis Augmented Reality yang efektif ditinjau dari hasil belajar kognitif siswa dan (3) mengembangkan media pembelajaran Rotasi dan Revolusi Bumi Berbasis Augmented Reality yang menarik ditinjau dari respon siswa kelas VI. Penelitian pengembangan ini menggunakan model pengembangan ADDIE. Berdasarkan hasil penelitian yang dilakukan, diperolah hasil bahwa presentase kevalidan rata-rata media pembelajaran sebesar 88.70% dalam kategori sangat valid. Keefektifan media pembelajaran diukur dari ketuntasan klasikal pada uji coba kelompok kecil diperoleh presentase 100% dalam kategori tuntas sehingga dapat disimpulkan media pembelajaran Rotasi dan Revolusi Bumi Berbasis Augmented Reality efektif digunakan pada pembelajaran. Kemenarikan media pembelajaran diukur dari presentase hasil angket respon siswa pada uji coba kelompok kecil sebesar 94.58% dengan kategori sangat menarik. Berdasarkan hasil penelitian maka media Revolusi Bumi Berbasis Augmented Reality valid, efektif dan menarik digunakan pada Tema 8 Subtema 1 materi rotasi dan revolusi bumi kelas VI UPTD SD yang terdapat di wilayah Desa Junganyar Pesisir Kecamatan Socah Kabupaten Bangkalan.

Kata Kunci: Media Pembelajaran Rotasi dan Revolusi Bumi Berbasis Augmented Reality, Tema 8 Subtema 1, Model Pengembangan ADDIE
"
"PENGEMBANGAN MEDIA PEMBELAJARAN RUPIN
(Rumah Pintar) KELAS IV TEMA 6 SUBTEMA 1 SEMESTER 2",Penulis : Fadillah,"Andika Adinanda Siswoyo, S.Pd., M.Pd","Bagus Rahmad Wijaya, S.Pd., M.Pd","Penelitian ini bertujuan untuk mengembangkan media pembelajaran RUPIN (rumah pintar) yang valid, efektif dan menarik pada pembelajaran Tematik Tema 6 Cita-citaku. Penelitian ini merupakan penelitian pengembangan dengan menggunakan model pengembangan Borg and Gall. Pengemabangan media ini mengembangkan 4 pembelajaran yaitu pembelajaran 1, pembelajaran 2, pembelajaran 4 dan pembelajaran 5 yang terdapat pada Tema 6 Cita-citaku.  Hasil dari penelitian pengembangan ini menunjukkan bahwa: (1) Presentasi tingkat kevalidan media adalah sebesar  71% dengan kriteria valid, bisa digunakan sesudah direvisi kecil yang diperoleh dari- rata-rata persentase gabungan dari ahli media sebesar 84%, ahli desain  sebesar 62%, dan ahli materi sebesar 68% . (2) Tingkat kefektifan media berada pada kriteria efektif sebesar 94,25% yang dilihat dari hasil persentase lembar observasi aktivitas guru sebesar 96%, hasil presentase lembar observasi aktivitas siswa sebesar 95,75%, dan ketuntasan klasikal sebesar 95%. (3) persentase kemenarikan media yang terlihat dari hasil angket respon siswa adalah sebesar  95% dengan kriteria sangat menarik. 

Kata kunci: Media pembelajaran Rupin (rumah pintar) Pembelajaran Tematik Tema 6 Subtema 1 
"
PENGEMBANGAN MULTIMEDIA INTERAKTIF PERPAN (PERPINDAHAN PANAS) PADA TEMA 6 SUBTEMA 2 KELAS V DI SEKOLAH DASAR,Penulis : Irfa Ayu Aristiqomah,"Andika Adinanda Siswoyo, S.Pd.,M.Pd.","Bagus Rahmad Wijaya, S.Pd.,M.Pd.","Tujuan penelitian pengembangan ini adalah (1) mengembangkan multimedia interaktif PERPAN yang valid ditinjau dari validasi ahli, (2) mengembangkan multimedia interaktif PERPAN yang efektif ditinjau dari hasil belajar kognitif siswa, aktivitas siswa dan aktivitas guru (3) mengembangkan multimedia interaktif PERPAN yang menarik ditinjau dari hasil angket respon siswa kelas V. Penelitian pengembangan ini menggunakan model Borg and Gall. Berdasarkan hasil penelitian yang dilakukan, diperoleh hasil persentase kevalidan rata-rata multimedia interaktif PERPAN sebesar 86,98% dengan kategori sangat valid. Keefektifan multimedia interaktif PERPAN diukur dari ketuntasan klasikal pada uji coba produk sebesar 100% dengan kategori tuntas, lembar observasi aktivitas guru sebesar 88% dengan kategori aktif, lembar observasi aktivitas siswa sebesar 87% dengan kategori aktif, sehingga dapat disimpulkan bahwa multimedia interaktif PERPAN sangat efektif digunakan pada pembelajaran. Kemenarikan produk diukur dari hasil persentase angket respon siswa sebesar 93,33% dengan kategori sangat menarik. Berdasarkan penelitian maka produk multimedia interaktif PERPAN valid, efektif, dan menarik digunakan pada Tema 6 Subtema 2 materi perpindahan panas kelas V sekolah dasar.

Kata kunci: Pengembangan Multimedia Interaktif PERPAN (Perpindahan Panas), Tema 6 Subtema 2, Model Pengembangan Borg and Gall.
"
Pengembangan Bahan Ajar Komik Tema 7 Subtema 1 Kelas IV SDN Bakalanpule 2 Lamongan,Penulis : ISMAH KHOLIDIYAH,"Andika Adinanda S, S.Pd.,M.Pd.","Aditya Dyah P, S.Pd., M.Pd","Tujuan penelitian pengembangan ini adalah (1) mengetahui kevalidan bahan ajar komik, (2) mengetahui keefektifan bahan ajar komik, (3) mengetahui kemenarikan bahan ajar komik untuk kelas IV SDN Bakalanpule 2 Lamongan. Peneliti menggembangkan ini menggunakan model pengembangan 4D, Define (Pendefinisian), Design ( Perencanaan), Develop (Pengembangan) dan Disseminate (Penyebarluasan). Berdasarkan hasil penelitian yang dilakuakan, diperoleh hasil bahwa presentase rata-rata bahan ajar komik sebesar 91,0% dalam kategori sangat valid. Keefektifan bahan ajar komik diuku berdasarkan Lembar observasi aktivitas guru mendapatkan presentase sebesar 78,56% dengan kategori aktif. lembar observasi aktivitas siswa mendapatkan presentase sebesar 86,10% dengan kategori aktif. Presentase hasil belajar siswa pada uji coba lapangan terbatas diperoleh presentasi ketuntsan belajar sebesar 100% dengan kategori sangat tuntas. Dengan demikian,maka bahan ajar komik dikatakan efektif digunakan pada pembelajaran. Kemenarikan diukur dari hasi angket respon siswa sebesar 93,75% dengan kategori sangat menarik. Berdasarkan hasil penelitian maka bahan ajar komik valid, efektif dan menarik digunakan pada Tema 7 Subtema 1 Kelas IV SDN Bakalanpule 2 Lamongan. 

Kata Kunci : Pengembangan Bahan Ajar Komik Pada Tema 7 Subtema 1 Kelas IV SDN Bakalanpule 2 Lamongan.
"
"PENGEMBANGAN MEDIA TAKTIK ""PERJUANGAN PARA PAHLAWAN"" (MEDIA KOTAK TEMATIK) UNTUK SISWA KELAS IV DI UPTD SDN TRAGAH BANGKALAN ",Penulis : Rizky Andini ,"Fachrur Rozie, S.Pd.,M.Pd","Nilamsari Damayanti Fajrin, S.Pd.,M.Pd","Hasil penelitian ini menunjukkan bahwa rata-rata hasil validasi yang diperoleh dari ahli media pembelajaran, ahli materi pembelajaran, dan ahli desain pembelajaran sebesar 90,4% dengan kategori sangat valid. Kemenarikan diukur dari hasil angket respon siswa pada uji coba produk sebesar 92% dan pada uji coba pemakaian menggunakan pembelajaran memperoleh presentase sebesar 95% dengan kategori sangat menarik. Keefektifan media diukur dari observasi aktivitas guru sebesar 98%, observasi aktivitas siswa sebesar 95% dan presentase ketuntasan klasikal sebesar 89% sehingga dapat disimpulkan Media Taktik âPerjuangan Para Pahlawanâ (Media Kotak Tematik) sangat efektik digunakan dalam pembelajaran. Keterterapan diukur dari angket respon guru sebesar 95% dengan kategori sangat mudah diterapkan. Berdasarkan hasil penelitian maka Media Taktik âPerjuangan Para Pahlawanâ (Media Kotak Tematik) yang dikembangkan valid, menarik, efektif, dan mudah diterapkan untuk siswa kelas IV di UPTD SDN Tragah Bangkalan. "
PENGEMBANGAN MULTIMEDIA INTERAKTIF SIKLUS HIDUP HEWAN  TEMA CITA-CITAKU SUBTEMA AKU DAN CITA-CITAKU PADA SISWA KELAS IV SEKOLAH DASAR,Penulis : Dwi Ajeng Kartini,"Mahmud, S.IP., M.Si","Tyasmiarni Citrawati, S.Pd., M.Pd","ABSTRAK
Tujuan penelitian dan pengembangan ini adalah untuk mengetahui kevalidan, keefektifan, dan kemenarikan media Multimedia Interaktif Siklus Hidup Hewan untuk siswa kelas IV. Model penelitian dan pengembangan ini menggunakan model 4D, penelitian ini memiliki 4 tahapan yang meliputi define (mendefinisikan), design (merancang), development (mengembangjan), dan disseminate (menyebarkan). Kevalidan media Multimedia Interaktif Siklus Hidup Hewan diperoleh dari validator 89% (sangat valid). Keefektifan media Multimedia Interaktif Siklus Hidup Hewan diperoleh dari lembar observasi aktivitas guru 92% (sangat efektif), lembar observasi aktivitas siswa 96% (sangat efektif), dan hasil belajar siswa 89%. Kemenarikan media Multimedia Interaktif Siklus Hidup Hewan diperoleh dari angket respon siswa sebesar 92% (sangat menarik). Hasil penelitian dan pengembangan media Multimedia Interaktif Siklus Hidup Hewan menunjukkan kriteria sangat valid, sangat efektif, dan sangat menarik sehingga dapat digunakan media pembelajaran untuk kelas IV.
Kata Kunci: Pengembangan Multimedia Interaktif, Siklus Hidup Hewan,Kelas IV."
PENGEMBANGAN KOMIK DIGITAL P3 (PENJUMLAHAN DAN PENGURANGAN PECAHAN) DALAM PEMBELAJARAN MATEMATIKA UNTUK KELAS V SEKOLAH DASAR,Penulis : Yahya Zakariya WahyuPrianti,"Fachrur Rozie, S.Pd., M.Pd","Ade Cyntia, S.Pd., M.Pd","Tujuan penelitian pengembangan ini untuk mengetahui kevalidan, keefektifan, kemenarikan bahan ajar matematika berbasis komik digital pada materi penjumlahan dan pengurangan pecahan. Penelitian ini dilakukan pada kelas V di SDN Karangpakis II. Penelitian dan pengembangan ini menggunakan model 4D yang memiliki 4 tahapan yaitu define, design, development, dan disseminate. Persentase hasil validasi rata-rata memperoleh hasil 89% bahan ajar komik digital P3 dinyatakan dalam kategori sangat valid. Hasil keefektifan pada tahap uji coba lapangan implementasi ditinjau dari hasil belajar siswa memperoleh persentase sebesar 100% bahan ajar komik digital P3 dinyatakan dalam kategori efektif. Hasil kemenarikan pada tahap uji coba lapangan implementasi ditinjau dari angket respon siswa memperoleh persentase sebesar 94% bahan ajar komik digital P3 dinyatakan dalam kategori sangat menarik. Berdasarkan hasil penelitian maka bahan ajar komik digital P3 valid, efektif, dan menarik digunakan dalam pembelajaran matematika materi penjumlahan dan pengurangan pecahan kelas V SDN Karangpakis II. 
 
Kata Kunci: Bahan ajar, komik digital, pembelajaran matematika, materi pecahan penjumlahan dan pengurangan.
"
ANALISIS KEMAMPUAN BERPIKIR KREATIF SISWA DALAM MEMECAHKAN SOAL HOTS PADA PEMBELAJARAN MATEMATIKA KELAS V SDN BANBARU I SUMENEP,Penulis : Sintia Nafalia,"Rika Wulandari, S.Pd., M.Pd.","Aditya Dyah Puspitasari, S.Pd., M.Pd.","Penelitian ini bertujan untuk mengetahui kemampuan berpikir kreatif yang dimiliki siswa dalam memecahkan soal HOTS pada pembelajaran matematika. Metode penelitian yang digunakan. Jenis penelitian ini meruapakan penelitian kualaitatif. Penelitian ini dilakukan di SDN Banbaru I Sumenep dengan subjek penelitian ini adalah adalah siswa kelas V SDN Banbaru I Sumenep tahun pelajaran 2019/2020. Teknik dalam pengambilan subjek menggunakan teknik puposive sampling dan snowball sampling. Pemilihan subjek berdasarkan hasil tes tertulis dan wawancara. Calon subjek yang digunakan sebanyak 6 siswa dan untuk subjek penelitian sebanyak 3 siswa. Pengumpulan data menggunakan soal HOTS untuk mengukur kemampuan berpikir kreatif siswa dalam memcahkan soal HOTS. Teknik analisis data yang digunakan yaituk teknik analisis dari Miles & Hubermen yang meliputi tiga langkah yaitu reduksi data, penyajian data, dan penarikan kesimpulan. Hasil penelitian ini menunjukkan bahwa kemampuan berpikir kreatif siswa dalam memecahkan soal HOTS pada siswa berkemampuan rendah, sedang, dan tinggi berdasarkan hasil tes tertulis dan wawancara dari keempat aspek kemampuan berpikir kreatif hanya subjek dengan kemampuan tinggi yang dapat memunculkan keempat aspek tersebut. Dari keempat aspek kemapuan berpikir kreatif saling mempengaruhi aspek yang lain terutama aspek kelancaran (fluency)."
ANALISIS KOMUNIKASI ILMIAH SISWA PADA TEMA 5 MENGENAL OLAHRAGA DAN PERMAINAN TRADISIONAL MENGGUNAKAN MODEL OUTDOOR LEARNING DI KELAS 3 SDN LERPAK 3,Penulis : MUTIARA BULAN MUHARRAM,"Priyono Tri Febrianto,S.Sos., M.Si","Agung Setyawan, S.Pd., M.Pd","Penelitian ini bertujuan untuk mengetahui penerapan komunikasi ilmiah siswa pada tema permainan tradisional madura menggunakan model outdoor learning kelas 3 di SDN Lerpak 3. Pendekatan yang digunakan yaitu kuantitatif deskriptif menggunakan metode pengumpulan data yang dilakukan dengan cara observasi, wawancara, dokumentasi dan penilaian komunikasi ilmiah. Populasi penelitian yang digunakan di SDN Lerpak 3 dan sampel pada penelitian ini yaitu siswa kelas 3 SDN Lerpak menggunakan sampel jenuh. Hasil penelitian yang diperoleh yaitu komunikasi ilmiah siswa menggunakan tema 5 mengenal olahraga dan permainan tradisional di madura menggunakan model outdoor learning mampu dilakukan dengan baik oleh siswa sehingga rata-rata yang diperoleh 82,67. Siswa mampu berkomunikasi dan kerjasama menuangkan ide-ide atau pendapatnya. Peran  sekolah dan keluarga merupakan salah satu pendukung siswa agar mampu meningkatkan komunikasi ilmiah siswa sehingga siswa menjadi lebih aktif, kreatif. 

Kata Kunci : Komunikasi ilmiah siswa, Permainan Tradisional, Model Outdoor Learning
"
PENGEMBANGAN MEDIA BUSY BOOK TEMA 7 INDAHNYA KERAGAMAN DI NEGERIKU SUBTEMA 2 INDAHNYA KERAGAMAN BUDAYA NEGERIKU UNTUK MENDUKUNG KERJA SAMA SISWA KELAS IV SD,Penulis : Raudlatuz Zahro,"Priyono Tri Febrianto, S.Sos., M.Si","Ade Cyntia Pritasari, S.Pd., M.Pd","Media pembelajaran adalah sesuatu yang dapat digunakan untuk menyampaikan informasi sebagai perantara dalam pembelajaran. Media yang dikembangkan pada penelitian ini adalah media tiga dimensi yang berisikan materi tema 7 sub tema 2 dari semua mata pelajaran. Tujuan penelitian pengembangan ini yaitu (1) mengembangkan media Busy Book untuk mendukung kerja sama siswa kelas IV SD dan (2) mengetahui kevalidan, keefektifan, kemenarikan dari media Busy Book untuk kelas IV di UPTD SDN Patengteng 1 Modung. Penelitian pengembangan ini menggunakan model Borg and Gall. Hasil penelitian ini menunjukkan bahwa: (1) hasil kevalidan media memperoleh rata-rata sebesar 80,9% dari validasi media, desain, materi pembelajaran dengan katergori valid; (2) hasil keefektifan media memperoleh 89% dengan kategori efektif dan hasil belajar siswa memperoleh 100% dengan kategori tuntas; dan (3) hasil kemenarikan berdasarkan respon siswa memperoleh 86% pada kategori menarik. Berdasarkan hasil penelitian tersebut dapat disimpulkan bahwa media Busy Book yang dikembangkan valid, efektif dan menarik sehingga layak digunakan dalam pembelajaran.
Kata Kunci: Media Busy Book, Tema 7 Subtema 2, Model Pengembangan Borg and Gall."
PENGARUH PENGGUNAAN MEDIA KARTU PINTAR DALAM PEMBELEJARAN KETERAMPILAN MENULIS PUISI PADA TEMA 6 SUBTEMA 2 PEMBELAJARAN 5 SISWA KELAS IV SDN JAGRAN KARANGGENENG LAMONGAN,Penulis : Siti Khoiro Ummah,"Mahmud, S.IP., M.Si.","Ana Naimatul Jannah, S.Pd., M.Pd.","ABSTRAK
Keterampilan menulis puisi merupakan proses kreatif yang mengungkapkan perasaan, ide, atau gagasan yang harus dikuasi siswa SD. Penerapan media pembelajaran yang tepat merupakan hal yang harus dipertimbangkan oleh guru, agar tujuan pembelajaran tercapai. Penelitian ini bertujuan untuk mencari pengaruh media Kartu Pintar dalam pembelajaran keterampilan menulis puisi pada tema 6 subtema 2 pembelajaran 5 siswa kelas IV SDN Jagran Karanggeneng Lamongan. Penelitian ini menggunakan desain Nonequivalent Control Group Design. Populasi dalam penelitian ini adalah siswa kelas IV SDN Jagran. pengambilan sample dalam penelitian ini menggunakan sample jenuh, yaitu kelas IVA dengan jumlah 24 siswa sebagai kelas eksperimen, dan IVB dengan jumlah 24 siswa sebagai kelas kontrol. Teknik pengumpulan data dilakukan dengan observasi aktivitas guru, tes keterampilan menulis, dan angket respon. Hasil penelitian ini menunjukkan bahwa perbandingan rata-rata pretest dan posttest kelas eksperimen adalah 57.125 dan 82.208. Sedangkan rata-rata pretest dan posttest kelas kontrol sebesar 55.666 dan 67.208. terdapat pengaruh signifikan dengan menggunakan media Kartu Pintar terhadap keterampilan menulis puisi siswa kelas IV SDN Jagran Karanggeneng Lamongan. Dari penelitian yang dilakukan dengan perhitungan uji t dengan taraf kesalahan 0,05 diperoleh thitung = 4,769 > ttabel 1,679. Dengan demikian thitung > ttabel maka Ho ditolak dan Ho diterima.

Kata Kunci: Media kartu pintar, kemampuan menulis, puisi."
PENGEMBANGAN MEDIA PEMBELAJARAN MOCK UP DAIR (DAU AIR) UNTUK SISWA KELAS V SEKOLAH DASAR ,Penulis : Pramathana Puspa Seruni Auliya,"Fachrur Rozie, S.Pd., M.Pd","Ana Naimatul Jannah, S.Pd., M.Pd","Media pembelajaran adalah alat bantu yang digunakan sebagai perantara guru untuk menyampaikan materi sehingga mempermudah siswa dalam menerima materi  pembelajaran. Tujuan penelitian adalah 1) mengetahui kevalidan media pembelajaran DAIR, 2) Mengetahui kemenarikan media pembelajaran DAIR, 3) mengetahui keefektifan media pembelajaran DAIR dan 4) mengetahui  kepraktisan media pembelajaran DAIR untuk kelas V sekolah dasar. Pengembangan media ini menggunakan model Borg and Gall. Hasil penelitian menunjukkan bahwa: 1) uji kevalidan rata-rata dari validator yaitu 83,5% 2) uji kemenarikan rata-rata yaitu 89% 3) uji keefektifan berdasarkan hasil penilaian observasi aktivitas guru dan siswa masing-masing 95% dan 88,6% termasuk kategori sangat efektif. Berdasarkan hasil tes hasil belajar dengan presentase 100% berada pada kriteria peningkatan hasil belajar yang tinggi 4) uji kepraktisan sebesar 89%. Kesimpulan penelitian ini adalah media pembelajaran DAIR layak digunakan dalam pembelajaran tema 8 subtema 1 pembelajaran 1 dan 2. 

Kata kunci: penelitian pengembangan,  media pembelajaran DAIR, Daur Air
"
